Title,Summary,Published,Link,Authors
LASER: A new method for locally adaptive nonparametric regression,"In this article, we introduce \textsf{LASER} (Locally Adaptive Smoothing
Estimator for Regression), a computationally efficient locally adaptive
nonparametric regression method that performs variable bandwidth local
polynomial regression. We prove that it adapts (near-)optimally to the local
H\""{o}lder exponent of the underlying regression function
\texttt{simultaneously} at all points in its domain. Furthermore, we show that
there is a single ideal choice of a global tuning parameter under which the
above mentioned local adaptivity holds. Despite the vast literature on
nonparametric regression, instances of practicable methods with provable
guarantees of such a strong notion of local adaptivity are rare. The proposed
method achieves excellent performance across a broad range of numerical
experiments in comparison to popular alternative locally adaptive methods.",2024-12-27T18:59:03Z,http://arxiv.org/abs/2412.19802v1,"Sabyasachi Chatterjee, Subhajit Goswami, Soumendu Sundar Mukherjee"
Concentration of ergotropy in many-body systems,"Ergotropy -- the maximal amount of unitarily extractable work -- measures the
``charge level'' of quantum batteries. We prove that in large many-body
batteries ergotropy exhibits a concentration of measure phenomenon. Namely, the
ergotropy of such systems is almost constant for almost all states sampled from
the Hilbert--Schmidt measure. We establish this by first proving that
ergotropy, as a function of the state, is Lipschitz-continuous with respect to
the Bures distance, and then applying Levy's measure concentration lemma. In
parallel, we showcase the analogous properties of von Neumann entropy,
compiling and adapting known results about its continuity and concentration
properties. Furthermore, we consider the situation with the least amount of
prior information about the state. This corresponds to the quantum version of
the Jeffreys prior distribution -- the Bures measure. In this case, there exist
no analytical bounds guaranteeing exponential concentration of measure.
Nonetheless, we provide numerical evidence that ergotropy, as well as von
Neumann entropy, concentrate also in this case.",2024-12-27T18:58:43Z,http://arxiv.org/abs/2412.19801v1,"Karen V. Hovhannisyan, Rick P. A. Simon, Janet Anders"
"Generalized Grade-of-Membership Estimation for High-dimensional Locally
  Dependent Data","This work focuses on the mixed membership models for multivariate categorical
data widely used for analyzing survey responses and population genetics data.
These grade of membership (GoM) models offer rich modeling power but present
significant estimation challenges for high-dimensional polytomous data. Popular
existing approaches, such as Bayesian MCMC inference, are not scalable and lack
theoretical guarantees in high-dimensional settings. To address this, we first
observe that data from this model can be reformulated as a three-way
(quasi-)tensor, with many subjects responding to many items with varying
numbers of categories. We introduce a novel and simple approach that flattens
the three-way quasi-tensor into a ""fat"" matrix, and then perform a singular
value decomposition of it to estimate parameters by exploiting the singular
subspace geometry. Our fast spectral method can accommodate a broad range of
data distributions with arbitrarily locally dependent noise, which we formalize
as the generalized-GoM models. We establish finite-sample entrywise error
bounds for the generalized-GoM model parameters. This is supported by a new
sharp two-to-infinity singular subspace perturbation theory for locally
dependent and flexibly distributed noise, a contribution of independent
interest. Simulations and applications to data in political surveys, population
genetics, and single-cell sequencing demonstrate our method's superior
performance.",2024-12-27T18:51:15Z,http://arxiv.org/abs/2412.19796v1,"Ling Chen, Chengzhu Huang, Yuqi Gu"
"g-factor theory of Si/SiGe quantum dots: spin-valley and giant
  renormalization effects","Understanding the $g$-factor physics of Si/SiGe quantum dots is crucial for
realizing high-quality spin qubits. While previous work has explained some
aspects of $g$-factor physics in idealized geometries, the results do not
extend to general cases and they miss several important features. Here, we
construct a theory that gives $g$ in terms of readily computable matrix
elements, and can be applied to all Si/SiGe heterostructures of current
interest. As a concrete example, which currently has no $g$-factor
understanding, we study the so-called Wiggle Well structure, containing Ge
concentration oscillations inside the quantum well. Here we find a significant
renormalization of the $g$-factor compared to conventional Si/SiGe quantum
wells. We also uncover a giant $g$-factor suppression of order
$\mathcal{O}(1)$, which arises due to spin-valley coupling, and occurs at
locations of low valley splitting. Our work therefore opens up new avenues for
$g$-factor engineering in Si/SiGe quantum dots.",2024-12-27T18:50:38Z,http://arxiv.org/abs/2412.19795v1,"Benjamin D. Woods, Merritt P. Losert, Robert Joynt, Mark Friesen"
InfAlign: Inference-aware language model alignment,"Language model alignment has become a critical step in training modern
generative language models. The goal of alignment is to finetune a reference
model such that the win rate of a sample from the aligned model over a sample
from the reference model is high, subject to a KL divergence constraint. Today,
we are increasingly using inference-time algorithms (e.g., Best-of-N,
controlled decoding, tree search) to decode from language models rather than
standard sampling. However, the alignment objective does not capture such
inference-time decoding procedures. We show that the existing alignment
framework is sub-optimal in view of such inference-time methods. We then modify
the alignment objective and propose a framework for inference-aware alignment
(IAPO). We prove that for any inference-time decoding algorithm, the optimal
solution that optimizes the inference-time win rate of the aligned policy
against the reference policy is the solution to the typical RLHF problem with a
transformation of the reward. This motivates us to provide the KL-regularized
calibrate-and-transform RL (CTRL) algorithm to solve this problem, which
involves a reward calibration step and a KL-regularized reward maximization
step with a transformation of the calibrated reward. We particularize our study
to two important inference-time strategies: best-of-N sampling and best-of-N
jailbreaking, where N responses are sampled from the model and the one with the
highest or lowest reward is selected. We propose specific transformations for
these strategies and demonstrate that our framework offers significant
improvements over existing state-of-the-art methods for language model
alignment. Empirically, we outperform baselines that are designed without
taking inference-time decoding into consideration by 8-12% and 4-9% on
inference-time win rates over the Anthropic helpfulness and harmlessness dialog
benchmark datasets.",2024-12-27T18:45:36Z,http://arxiv.org/abs/2412.19792v1,"Ananth Balashankar, Ziteng Sun, Jonathan Berant, Jacob Eisenstein, Michael Collins, Adrian Hutter, Jong Lee, Chirag Nagpal, Flavien Prost, Aradhana Sinha, and Ananda Theertha Suresh, Ahmad Beirami"
"Machine Learning for Sentiment Analysis of Imported Food in Trinidad and
  Tobago","This research investigates the performance of various machine learning
algorithms (CNN, LSTM, VADER, and RoBERTa) for sentiment analysis of Twitter
data related to imported food items in Trinidad and Tobago. The study addresses
three primary research questions: the comparative accuracy and efficiency of
the algorithms, the optimal configurations for each model, and the potential
applications of the optimized models in a live system for monitoring public
sentiment and its impact on the import bill. The dataset comprises tweets from
2018 to 2024, divided into imbalanced, balanced, and temporal subsets to assess
the impact of data balancing and the COVID-19 pandemic on sentiment trends. Ten
experiments were conducted to evaluate the models under various configurations.
Results indicated that VADER outperformed the other models in both multi-class
and binary sentiment classifications. The study highlights significant changes
in sentiment trends pre- and post-COVID-19, with implications for import
policies.",2024-12-27T18:25:08Z,http://arxiv.org/abs/2412.19781v1,"Cassandra Daniels, Koffka Khan"
Tensor Network Estimation of Distribution Algorithms,"Tensor networks are a tool first employed in the context of many-body quantum
physics that now have a wide range of uses across the computational sciences,
from numerical methods to machine learning. Methods integrating tensor networks
into evolutionary optimization algorithms have appeared in the recent
literature. In essence, these methods can be understood as replacing the
traditional crossover operation of a genetic algorithm with a tensor
network-based generative model. We investigate these methods from the point of
view that they are Estimation of Distribution Algorithms (EDAs). We find that
optimization performance of these methods is not related to the power of the
generative model in a straightforward way. Generative models that are better
(in the sense that they better model the distribution from which their training
data is drawn) do not necessarily result in better performance of the
optimization algorithm they form a part of. This raises the question of how
best to incorporate powerful generative models into optimization routines. In
light of this we find that adding an explicit mutation operator to the output
of the generative model often improves optimization performance.",2024-12-27T18:22:47Z,http://arxiv.org/abs/2412.19780v1,"John Gardiner, Javier Lopez-Piqueres"
"Symbolic Approximations to Ricci-flat Metrics Via Extrinsic Symmetries
  of Calabi-Yau Hypersurfaces","Ever since Yau's non-constructive existence proof of Ricci-flat metrics on
Calabi-Yau manifolds, finding their explicit construction remains a major
obstacle to development of both string theory and algebraic geometry. Recent
computational approaches employ machine learning to create novel neural
representations for approximating these metrics, offering high accuracy but
limited interpretability. In this paper, we analyse machine learning
approximations to flat metrics of Fermat Calabi-Yau n-folds and some of their
one-parameter deformations in three dimensions in order to discover their new
properties. We formalise cases in which the flat metric has more symmetries
than the underlying manifold, and prove that these symmetries imply that the
flat metric admits a surprisingly compact representation for certain choices of
complex structure moduli. We show that such symmetries uniquely determine the
flat metric on certain loci, for which we present an analytic form. We also
incorporate our theoretical results into neural networks to achieve
state-of-the-art reductions in Ricci curvature for multiple Calabi-Yau
manifolds. We conclude by distilling the ML models to obtain for the first time
closed form expressions for Kahler metrics with near-zero scalar curvature.",2024-12-27T18:19:26Z,http://arxiv.org/abs/2412.19778v1,"Viktor Mirjanić, Challenger Mishra"
"Application of normalizing flows to nuclear many-body perturbation
  theory","Many-body perturbation theory provides a powerful framework to study the
ground state and thermodynamic properties of nuclear matter as well as
associated single-particle potentials and response functions within a
systematic order-by-order expansion. However, computational challenges can
emerge beyond the lowest orders of perturbation theory, especially when
computing both single-particle potentials and response functions, which in
general are complex-valued and require Cauchy principal value calculations of
high-dimensional integrals. We demonstrate that normalizing flows are suitable
for Monte Carlo importance sampling of both regular and irregular functions
appearing in nuclear many-body calculations. Normalizing flows are a class of
machine learning models that can be used to build and sample from complicated
distributions through a bijective mapping from a simple base distribution.
Furthermore, a well-trained model for a certain target integrand can be
efficiently transferred to calculate related integrals with varying physical
conditions. These features can enable more efficient tabulations of nuclear
physics inputs to numerical simulations of supernovae and neutron star mergers
across varying physical conditions and nuclear force models.",2024-12-27T18:18:20Z,http://arxiv.org/abs/2412.19777v1,"Pengsheng Wen, Jeremy W. Holt, Albany Blackburn"
"Analysis of Premature Death Rates in Texas Counties: The Impact of Air
  Quality, Socioeconomic Factors, and COPD Prevalence","Understanding factors contributing to premature mortality is critical for
public health planning. This study examines the relationships between premature
death rates and multiple risk factors across several Texas counties, utilizing
EPA air quality data, Census information, and county health records from recent
years. We analyze the impact of air quality (PM2.5 levels), socioeconomic
factors (median household income), and health conditions (COPD prevalence)
through statistical analysis and modeling techniques. Results reveal COPD
prevalence as a strong predictor of premature death rates, with higher
prevalence associated with a substantial increase in years of potential life
lost. While socioeconomic factors show a significant negative correlation, air
quality demonstrates more complex indirect relationships. These findings
emphasize the need for integrated public health interventions that prioritize
key health conditions while addressing underlying socioeconomic disparities.",2024-12-27T18:12:04Z,http://arxiv.org/abs/2412.19774v1,"Richard Rich, Ernesto Diaz"
