Title,Summary,Published,Link,Authors
Entangled dual-comb spectroscopy,"Optical frequency combs have emerged as a cornerstone for a wide range of
areas, including spectroscopy, ranging, optical clocks, time and frequency
transfer, waveform synthesis, and communications. However, quantum mechanical
fluctuations of the optical carrier impose fundamental performance limits on
the precision of traditional classical laser frequency combs, particularly in
their use for interferometry and spectroscopy. Entanglement, as a
quintessential quantum resource, allows for surpassing the fundamental limits
of classical systems. Here, we introduce and experimentally demonstrate
entangled dual-comb spectroscopy (EDCS) that surmounts the fundamental limits
of classical DCS. EDCS builds on tailored entangled spectral structures of the
frequency combs, enabling simultaneous detection of all comb lines below the
standard quantum limit of classical DCS. Applying EDCS in gas detection, we
achieve a 2.6 dB enhancement in signal-to-noise ratio and a 1.7-fold reduction
in integration time over classical DCS, rendering EDCS particularly suited for
dynamic chemical and biological sensing, where fast, precise measurements
subject to power constraints are required. EDCS represents a new paradigm for
quantum frequency combs, underscoring their prospects in a plethora of
applications in precision metrology, spectroscopy, and timekeeping.",2024-12-27T18:57:59Z,http://arxiv.org/abs/2412.19800v1,"Abdulkarim Hariri, Shuai Liu, Haowei Shi, Quntao Zhuang, Xudong Fan, Zheshen Zhang"
"Generalized Grade-of-Membership Estimation for High-dimensional Locally
  Dependent Data","This work focuses on the mixed membership models for multivariate categorical
data widely used for analyzing survey responses and population genetics data.
These grade of membership (GoM) models offer rich modeling power but present
significant estimation challenges for high-dimensional polytomous data. Popular
existing approaches, such as Bayesian MCMC inference, are not scalable and lack
theoretical guarantees in high-dimensional settings. To address this, we first
observe that data from this model can be reformulated as a three-way
(quasi-)tensor, with many subjects responding to many items with varying
numbers of categories. We introduce a novel and simple approach that flattens
the three-way quasi-tensor into a ""fat"" matrix, and then perform a singular
value decomposition of it to estimate parameters by exploiting the singular
subspace geometry. Our fast spectral method can accommodate a broad range of
data distributions with arbitrarily locally dependent noise, which we formalize
as the generalized-GoM models. We establish finite-sample entrywise error
bounds for the generalized-GoM model parameters. This is supported by a new
sharp two-to-infinity singular subspace perturbation theory for locally
dependent and flexibly distributed noise, a contribution of independent
interest. Simulations and applications to data in political surveys, population
genetics, and single-cell sequencing demonstrate our method's superior
performance.",2024-12-27T18:51:15Z,http://arxiv.org/abs/2412.19796v1,"Ling Chen, Chengzhu Huang, Yuqi Gu"
"g-factor theory of Si/SiGe quantum dots: spin-valley and giant
  renormalization effects","Understanding the $g$-factor physics of Si/SiGe quantum dots is crucial for
realizing high-quality spin qubits. While previous work has explained some
aspects of $g$-factor physics in idealized geometries, the results do not
extend to general cases and they miss several important features. Here, we
construct a theory that gives $g$ in terms of readily computable matrix
elements, and can be applied to all Si/SiGe heterostructures of current
interest. As a concrete example, which currently has no $g$-factor
understanding, we study the so-called Wiggle Well structure, containing Ge
concentration oscillations inside the quantum well. Here we find a significant
renormalization of the $g$-factor compared to conventional Si/SiGe quantum
wells. We also uncover a giant $g$-factor suppression of order
$\mathcal{O}(1)$, which arises due to spin-valley coupling, and occurs at
locations of low valley splitting. Our work therefore opens up new avenues for
$g$-factor engineering in Si/SiGe quantum dots.",2024-12-27T18:50:38Z,http://arxiv.org/abs/2412.19795v1,"Benjamin D. Woods, Merritt P. Losert, Robert Joynt, Mark Friesen"
InfAlign: Inference-aware language model alignment,"Language model alignment has become a critical step in training modern
generative language models. The goal of alignment is to finetune a reference
model such that the win rate of a sample from the aligned model over a sample
from the reference model is high, subject to a KL divergence constraint. Today,
we are increasingly using inference-time algorithms (e.g., Best-of-N,
controlled decoding, tree search) to decode from language models rather than
standard sampling. However, the alignment objective does not capture such
inference-time decoding procedures. We show that the existing alignment
framework is sub-optimal in view of such inference-time methods. We then modify
the alignment objective and propose a framework for inference-aware alignment
(IAPO). We prove that for any inference-time decoding algorithm, the optimal
solution that optimizes the inference-time win rate of the aligned policy
against the reference policy is the solution to the typical RLHF problem with a
transformation of the reward. This motivates us to provide the KL-regularized
calibrate-and-transform RL (CTRL) algorithm to solve this problem, which
involves a reward calibration step and a KL-regularized reward maximization
step with a transformation of the calibrated reward. We particularize our study
to two important inference-time strategies: best-of-N sampling and best-of-N
jailbreaking, where N responses are sampled from the model and the one with the
highest or lowest reward is selected. We propose specific transformations for
these strategies and demonstrate that our framework offers significant
improvements over existing state-of-the-art methods for language model
alignment. Empirically, we outperform baselines that are designed without
taking inference-time decoding into consideration by 8-12% and 4-9% on
inference-time win rates over the Anthropic helpfulness and harmlessness dialog
benchmark datasets.",2024-12-27T18:45:36Z,http://arxiv.org/abs/2412.19792v1,"Ananth Balashankar, Ziteng Sun, Jonathan Berant, Jacob Eisenstein, Michael Collins, Adrian Hutter, Jong Lee, Chirag Nagpal, Flavien Prost, Aradhana Sinha, and Ananda Theertha Suresh, Ahmad Beirami"
"Data-driven analysis of anomalous transport and three-wave-coupling
  effects in E x B plasma discharges","Collisionless cross-field electron transport in an E x B configuration
relevant for electric propulsion is studied using data from a (z, {\theta})
full-PIC simulation. Higher-order spectral analysis shows that transport is
dominated by the in-phase interaction of the oscillations of the azimuthal
electric field and the electron density associated to the first electron
cyclotron drift instability (ECDI) mode. A secondary contribution emanates from
a lower-frequency mode, not predicted by linear ECDI theory, while higher modes
have a minor direct impact on transport. However, a bicoherence analysis
reveals that strong phase couplings exist among the ECDI modes, and a sparse
symbolic regression spectral model, based on the three-wave coupling equations,
suggests an inverse energy cascade as the most likely explanation, thus
suggesting that higher modes contribute indirectly to transport by quadratic
power transfer to the first mode. This work provides new insights into the
dynamics of anomalous plasma transport in E x B sources and the underlying
processes governing energy distribution across different scales, and supports
the validity of weak turbulence theory to examine their behavior.",2024-12-27T18:43:24Z,http://arxiv.org/abs/2412.19789v1,"Borja Bayón-Buján, Enrique Bello-Benítez, Jiewei Zhou, Mario Merino"
Can AI Help with Your Personal Finances?,"In recent years, Large Language Models (LLMs) have emerged as a
transformative development in artificial intelligence (AI), drawing significant
attention from industry and academia. Trained on vast datasets, these
sophisticated AI systems exhibit impressive natural language processing and
content generation capabilities. This paper explores the potential of LLMs to
address key challenges in personal finance, focusing on the United States. We
evaluate several leading LLMs, including OpenAI's ChatGPT, Google's Gemini,
Anthropic's Claude, and Meta's Llama, to assess their effectiveness in
providing accurate financial advice on topics such as mortgages, taxes, loans,
and investments. Our findings show that while these models achieve an average
accuracy rate of approximately 70%, they also display notable limitations in
certain areas. Specifically, LLMs struggle to provide accurate responses for
complex financial queries, with performance varying significantly across
different topics. Despite these limitations, the analysis reveals notable
improvements in newer versions of these models, highlighting their growing
utility for individuals and financial advisors. As these AI systems continue to
evolve, their potential for advancing AI-driven applications in personal
finance becomes increasingly promising.",2024-12-27T18:25:27Z,http://arxiv.org/abs/2412.19784v1,"Oudom Hean, Utsha Saha, Binita Saha"
"Machine Learning for Sentiment Analysis of Imported Food in Trinidad and
  Tobago","This research investigates the performance of various machine learning
algorithms (CNN, LSTM, VADER, and RoBERTa) for sentiment analysis of Twitter
data related to imported food items in Trinidad and Tobago. The study addresses
three primary research questions: the comparative accuracy and efficiency of
the algorithms, the optimal configurations for each model, and the potential
applications of the optimized models in a live system for monitoring public
sentiment and its impact on the import bill. The dataset comprises tweets from
2018 to 2024, divided into imbalanced, balanced, and temporal subsets to assess
the impact of data balancing and the COVID-19 pandemic on sentiment trends. Ten
experiments were conducted to evaluate the models under various configurations.
Results indicated that VADER outperformed the other models in both multi-class
and binary sentiment classifications. The study highlights significant changes
in sentiment trends pre- and post-COVID-19, with implications for import
policies.",2024-12-27T18:25:08Z,http://arxiv.org/abs/2412.19781v1,"Cassandra Daniels, Koffka Khan"
Tensor Network Estimation of Distribution Algorithms,"Tensor networks are a tool first employed in the context of many-body quantum
physics that now have a wide range of uses across the computational sciences,
from numerical methods to machine learning. Methods integrating tensor networks
into evolutionary optimization algorithms have appeared in the recent
literature. In essence, these methods can be understood as replacing the
traditional crossover operation of a genetic algorithm with a tensor
network-based generative model. We investigate these methods from the point of
view that they are Estimation of Distribution Algorithms (EDAs). We find that
optimization performance of these methods is not related to the power of the
generative model in a straightforward way. Generative models that are better
(in the sense that they better model the distribution from which their training
data is drawn) do not necessarily result in better performance of the
optimization algorithm they form a part of. This raises the question of how
best to incorporate powerful generative models into optimization routines. In
light of this we find that adding an explicit mutation operator to the output
of the generative model often improves optimization performance.",2024-12-27T18:22:47Z,http://arxiv.org/abs/2412.19780v1,"John Gardiner, Javier Lopez-Piqueres"
"Symbolic Approximations to Ricci-flat Metrics Via Extrinsic Symmetries
  of Calabi-Yau Hypersurfaces","Ever since Yau's non-constructive existence proof of Ricci-flat metrics on
Calabi-Yau manifolds, finding their explicit construction remains a major
obstacle to development of both string theory and algebraic geometry. Recent
computational approaches employ machine learning to create novel neural
representations for approximating these metrics, offering high accuracy but
limited interpretability. In this paper, we analyse machine learning
approximations to flat metrics of Fermat Calabi-Yau n-folds and some of their
one-parameter deformations in three dimensions in order to discover their new
properties. We formalise cases in which the flat metric has more symmetries
than the underlying manifold, and prove that these symmetries imply that the
flat metric admits a surprisingly compact representation for certain choices of
complex structure moduli. We show that such symmetries uniquely determine the
flat metric on certain loci, for which we present an analytic form. We also
incorporate our theoretical results into neural networks to achieve
state-of-the-art reductions in Ricci curvature for multiple Calabi-Yau
manifolds. We conclude by distilling the ML models to obtain for the first time
closed form expressions for Kahler metrics with near-zero scalar curvature.",2024-12-27T18:19:26Z,http://arxiv.org/abs/2412.19778v1,"Viktor Mirjanić, Challenger Mishra"
"On the numerical solution of Lasserre relaxations of unconstrained
  binary quadratic optimization problem","The aim of this paper is to solve linear semidefinite programs arising from
higher-order Lasserre relaxations of unconstrained binary quadratic
optimization problems. For this we use an interior point method with a
preconditioned conjugate gradient method solving the linear systems. The
preconditioner utilizes the low-rank structure of the solution of the
relaxations. In order to fully exploit this, we need to re-write the moment
relaxations. To treat the arising linear equality constraints we use an
$\ell_1$-penalty approach within the interior-point solver. The efficiency of
this approach is demonstrated by numerical experiments with the MAXCUT and
other randomly generated problems and a comparison with a state-of-the-art
semidefinite solver and the ADMM method. We further propose a hybrid
ADMM-interior-point method that proves to be efficient for certain problem
classes. As a by-product, we observe that the second-order relaxation is often
high enough to deliver a globally optimal solution of the original problem.",2024-12-27T18:17:45Z,http://arxiv.org/abs/2412.19776v1,"Soodeh Habibi, Michal Kocvara, Michael Stingl"
