Title,Summary,Published,Link,Authors
Concentration of ergotropy in many-body systems,"Ergotropy -- the maximal amount of unitarily extractable work -- measures the
``charge level'' of quantum batteries. We prove that in large many-body
batteries ergotropy exhibits a concentration of measure phenomenon. Namely, the
ergotropy of such systems is almost constant for almost all states sampled from
the Hilbert--Schmidt measure. We establish this by first proving that
ergotropy, as a function of the state, is Lipschitz-continuous with respect to
the Bures distance, and then applying Levy's measure concentration lemma. In
parallel, we showcase the analogous properties of von Neumann entropy,
compiling and adapting known results about its continuity and concentration
properties. Furthermore, we consider the situation with the least amount of
prior information about the state. This corresponds to the quantum version of
the Jeffreys prior distribution -- the Bures measure. In this case, there exist
no analytical bounds guaranteeing exponential concentration of measure.
Nonetheless, we provide numerical evidence that ergotropy, as well as von
Neumann entropy, concentrate also in this case.",2024-12-27T18:58:43Z,http://arxiv.org/abs/2412.19801v1,"Karen V. Hovhannisyan, Rick P. A. Simon, Janet Anders"
Entangled dual-comb spectroscopy,"Optical frequency combs have emerged as a cornerstone for a wide range of
areas, including spectroscopy, ranging, optical clocks, time and frequency
transfer, waveform synthesis, and communications. However, quantum mechanical
fluctuations of the optical carrier impose fundamental performance limits on
the precision of traditional classical laser frequency combs, particularly in
their use for interferometry and spectroscopy. Entanglement, as a
quintessential quantum resource, allows for surpassing the fundamental limits
of classical systems. Here, we introduce and experimentally demonstrate
entangled dual-comb spectroscopy (EDCS) that surmounts the fundamental limits
of classical DCS. EDCS builds on tailored entangled spectral structures of the
frequency combs, enabling simultaneous detection of all comb lines below the
standard quantum limit of classical DCS. Applying EDCS in gas detection, we
achieve a 2.6 dB enhancement in signal-to-noise ratio and a 1.7-fold reduction
in integration time over classical DCS, rendering EDCS particularly suited for
dynamic chemical and biological sensing, where fast, precise measurements
subject to power constraints are required. EDCS represents a new paradigm for
quantum frequency combs, underscoring their prospects in a plethora of
applications in precision metrology, spectroscopy, and timekeeping.",2024-12-27T18:57:59Z,http://arxiv.org/abs/2412.19800v1,"Abdulkarim Hariri, Shuai Liu, Haowei Shi, Quntao Zhuang, Xudong Fan, Zheshen Zhang"
Computing Direct Sum Decompositions,"The problems of finding isomorphism classes of indecomposable modules with
certain properties, or determining the indecomposable summands of a module, are
ubiquitous in commutative algebra, group theory, representation theory, and
other fields. The purpose of this work is to describe and prove correctness of
a practical algorithm for computing indecomposable summands of finitely
generated modules over a finitely generated k-algebra, for k a field of
positive characteristic. Our algorithm works over multigraded rings, which
enables the computation of indecomposable summands of coherent sheaves on
subvarieties of toric varieties (in particular, for varieties embedded in
projective space). We also present multiple examples, including some which
present previously unknown phenomena regarding the behavior of summands of
Frobenius pushforwards and syzygies over Artinian rings.",2024-12-27T18:57:35Z,http://arxiv.org/abs/2412.19799v1,"Devlin Mallory, Mahrud Sayrafi"
Non-Scaling Topological Defects and Gravitational Waves in Higgs Portal,"One of the simplest extensions of the Standard Model is the Higgs portal
extension involving a dark Higgs. Dark sectors that include dark matter
candidates, WIMPs, axions, and dark photons, can naturally have this type of
interaction, where the dark Higgs is charged under some symmetry, which may or
may not be spontaneous broken by the vacuum expectation value. In this paper,
using lattice simulations, I show that if the reheating temperature of the
Universe is sufficiently high, topological defects such as domain walls and
cosmic strings associated with these symmetries are naturally formed even if
the symmetries are never restored due to negative thermal mass squareds. This
occurs due to the early Universe's non-adiabatic oscillation of the Higgs
around the onset of oscillation, which overshoots the origin, and tachyonic
instability that enhances fluctuations. The gravitational waves generated by
these topological defects may be very significant due to the energetic
processes induced by matter effects in the hot and dense Universe irrelevant to
the typical energy scale of the dark sector in the vacuum or whether the
symmetry is broken in the vacuum. Alongside earlier studies such as usual phase
transition, melting domain walls and melting cosmic strings scenarios that
assume a symmetric phase in the early Universe, the Higgs portal models
naturally predict local overdensities from topological defects, which may
induce miniclusters and primordial black holes, as well as the gravitational
waves.These phenomena provide novel opportunities to search for such scenarios.
I also perform various numerical simulations for the relevant topic including
melting domain walls and cosmic strings with inflationary and Gaussian
fluctuations, for comparison--which have not been performed previously.",2024-12-27T18:57:22Z,http://arxiv.org/abs/2412.19798v1,Wen Yin
"Streamlined Krylov construction and classification of ergodic Floquet
  systems","We generalize Krylov construction to periodically driven (Floquet) quantum
systems using the theory of orthogonal polynomials on the unit circle. Compared
to other approaches, our method works faster and maps any quantum dynamics to a
one-dimensional tight-binding Krylov chain. We also suggest a classification of
chaotic and integrable Floquet systems based on the asymptotic behavior of
Krylov chain hopping parameters (Verblunsky coefficients). We illustrate this
classification with random matrix ensembles, kicked top, and kicked Ising
chain.",2024-12-27T18:56:27Z,http://arxiv.org/abs/2412.19797v1,"Nikita Kolganov, Dmitrii A. Trunin"
"Generalized Grade-of-Membership Estimation for High-dimensional Locally
  Dependent Data","This work focuses on the mixed membership models for multivariate categorical
data widely used for analyzing survey responses and population genetics data.
These grade of membership (GoM) models offer rich modeling power but present
significant estimation challenges for high-dimensional polytomous data. Popular
existing approaches, such as Bayesian MCMC inference, are not scalable and lack
theoretical guarantees in high-dimensional settings. To address this, we first
observe that data from this model can be reformulated as a three-way
(quasi-)tensor, with many subjects responding to many items with varying
numbers of categories. We introduce a novel and simple approach that flattens
the three-way quasi-tensor into a ""fat"" matrix, and then perform a singular
value decomposition of it to estimate parameters by exploiting the singular
subspace geometry. Our fast spectral method can accommodate a broad range of
data distributions with arbitrarily locally dependent noise, which we formalize
as the generalized-GoM models. We establish finite-sample entrywise error
bounds for the generalized-GoM model parameters. This is supported by a new
sharp two-to-infinity singular subspace perturbation theory for locally
dependent and flexibly distributed noise, a contribution of independent
interest. Simulations and applications to data in political surveys, population
genetics, and single-cell sequencing demonstrate our method's superior
performance.",2024-12-27T18:51:15Z,http://arxiv.org/abs/2412.19796v1,"Ling Chen, Chengzhu Huang, Yuqi Gu"
"g-factor theory of Si/SiGe quantum dots: spin-valley and giant
  renormalization effects","Understanding the $g$-factor physics of Si/SiGe quantum dots is crucial for
realizing high-quality spin qubits. While previous work has explained some
aspects of $g$-factor physics in idealized geometries, the results do not
extend to general cases and they miss several important features. Here, we
construct a theory that gives $g$ in terms of readily computable matrix
elements, and can be applied to all Si/SiGe heterostructures of current
interest. As a concrete example, which currently has no $g$-factor
understanding, we study the so-called Wiggle Well structure, containing Ge
concentration oscillations inside the quantum well. Here we find a significant
renormalization of the $g$-factor compared to conventional Si/SiGe quantum
wells. We also uncover a giant $g$-factor suppression of order
$\mathcal{O}(1)$, which arises due to spin-valley coupling, and occurs at
locations of low valley splitting. Our work therefore opens up new avenues for
$g$-factor engineering in Si/SiGe quantum dots.",2024-12-27T18:50:38Z,http://arxiv.org/abs/2412.19795v1,"Benjamin D. Woods, Merritt P. Losert, Robert Joynt, Mark Friesen"
InfAlign: Inference-aware language model alignment,"Language model alignment has become a critical step in training modern
generative language models. The goal of alignment is to finetune a reference
model such that the win rate of a sample from the aligned model over a sample
from the reference model is high, subject to a KL divergence constraint. Today,
we are increasingly using inference-time algorithms (e.g., Best-of-N,
controlled decoding, tree search) to decode from language models rather than
standard sampling. However, the alignment objective does not capture such
inference-time decoding procedures. We show that the existing alignment
framework is sub-optimal in view of such inference-time methods. We then modify
the alignment objective and propose a framework for inference-aware alignment
(IAPO). We prove that for any inference-time decoding algorithm, the optimal
solution that optimizes the inference-time win rate of the aligned policy
against the reference policy is the solution to the typical RLHF problem with a
transformation of the reward. This motivates us to provide the KL-regularized
calibrate-and-transform RL (CTRL) algorithm to solve this problem, which
involves a reward calibration step and a KL-regularized reward maximization
step with a transformation of the calibrated reward. We particularize our study
to two important inference-time strategies: best-of-N sampling and best-of-N
jailbreaking, where N responses are sampled from the model and the one with the
highest or lowest reward is selected. We propose specific transformations for
these strategies and demonstrate that our framework offers significant
improvements over existing state-of-the-art methods for language model
alignment. Empirically, we outperform baselines that are designed without
taking inference-time decoding into consideration by 8-12% and 4-9% on
inference-time win rates over the Anthropic helpfulness and harmlessness dialog
benchmark datasets.",2024-12-27T18:45:36Z,http://arxiv.org/abs/2412.19792v1,"Ananth Balashankar, Ziteng Sun, Jonathan Berant, Jacob Eisenstein, Michael Collins, Adrian Hutter, Jong Lee, Chirag Nagpal, Flavien Prost, Aradhana Sinha, and Ananda Theertha Suresh, Ahmad Beirami"
"Local Characteristic Decomposition of Equilibrium Variables for
  Hyperbolic Systems of Balance Laws","This paper is concerned with high-order numerical methods for hyperbolic
systems of balance laws. Such methods are typically based on high-order
piecewise polynomial reconstructions (interpolations) of the computed discrete
quantities. However, such reconstructions (interpolations) may be oscillatory
unless the reconstruction (interpolation) procedure is applied to the local
characteristic variables via the local characteristic decomposition (LCD).
Another challenge in designing accurate and stable high-order schemes is
related to enforcing a delicate balance between the fluxes, sources, and
nonconservative product terms: a good scheme should be well-balanced (WB) in
the sense that it should be capable of exactly preserving certain (physically
relevant) steady states. One of the ways to ensure that the reconstruction
(interpolation) preserves these steady states is to apply the reconstruction
(interpolation) to the equilibrium variables, which are supposed to be constant
at the steady states. To achieve this goal and to keep the reconstruction
(interpolation) non-oscillatory, we introduce a new LCD of equilibrium
variables. We apply the developed technique to the fifth-order Ai-WENO-Z
interpolation implemented within the WB A-WENO framework recently introduced in
[S. Chu, A. Kurganov, and R. Xin, Beijing J. of Pure and Appl. Math., to
appear], and illustrate its performance on a variety of numerical examples.",2024-12-27T18:45:23Z,http://arxiv.org/abs/2412.19791v1,"Shaoshuai Chu, Alexander Kurganov, Mingye Na, Ruixiao Xin"
"Bottom-up robust modeling for the foraging behavior of Physarum
  polycephalum","The true slime mold \textit{Physarum polycephalum} has the remarkable
capability to perform self-organized activities such as network formation among
food sources. Despite well reproducing the emergence of slime networks,
existing models are limited in the investigation of the minimal mechanisms, at
the microscopic scale, that ensure robust problem-solving capabilities at the
macroscopic scale. To this end, we develop three progressively more complex
multi-agent models to provide a flexible framework to understand the
self-organized foraging and network formation behaviors of \textit{Physarum}.
The hierarchy of models allows for a stepwise investigation of the minimal set
of rules that allow bio-inspired computing agents to achieve the desired
behaviors on nutrient-poor substrates. By introducing a quantitative measure of
connectedness among food sources, we assess the sensitivity of the model to
user-defined and bio-inspired parameters, as well as the robustness of the
model to parameter heterogeneity across agents. We ultimately observe the
robust emergence of pattern formation, in line with experimental evidence.
Overall, our study sheds light onto the basic mechanisms of self-organization
and paves the way towards the development of decentralized strategies for
network formation in engineered systems, focusing on trade-offs between
biological fidelity and computational efficiency.",2024-12-27T18:44:14Z,http://arxiv.org/abs/2412.19790v1,"Damiano Reginato, Daniele Proverbio, Giulia Giordano"
