Title,Summary,Published,Link,Authors
LASER: A new method for locally adaptive nonparametric regression,"In this article, we introduce \textsf{LASER} (Locally Adaptive Smoothing
Estimator for Regression), a computationally efficient locally adaptive
nonparametric regression method that performs variable bandwidth local
polynomial regression. We prove that it adapts (near-)optimally to the local
H\""{o}lder exponent of the underlying regression function
\texttt{simultaneously} at all points in its domain. Furthermore, we show that
there is a single ideal choice of a global tuning parameter under which the
above mentioned local adaptivity holds. Despite the vast literature on
nonparametric regression, instances of practicable methods with provable
guarantees of such a strong notion of local adaptivity are rare. The proposed
method achieves excellent performance across a broad range of numerical
experiments in comparison to popular alternative locally adaptive methods.",2024-12-27T18:59:03Z,http://arxiv.org/abs/2412.19802v1,"Sabyasachi Chatterjee, Subhajit Goswami, Soumendu Sundar Mukherjee"
"Streamlined Krylov construction and classification of ergodic Floquet
  systems","We generalize Krylov construction to periodically driven (Floquet) quantum
systems using the theory of orthogonal polynomials on the unit circle. Compared
to other approaches, our method works faster and maps any quantum dynamics to a
one-dimensional tight-binding Krylov chain. We also suggest a classification of
chaotic and integrable Floquet systems based on the asymptotic behavior of
Krylov chain hopping parameters (Verblunsky coefficients). We illustrate this
classification with random matrix ensembles, kicked top, and kicked Ising
chain.",2024-12-27T18:56:27Z,http://arxiv.org/abs/2412.19797v1,"Nikita Kolganov, Dmitrii A. Trunin"
"Data-driven analysis of anomalous transport and three-wave-coupling
  effects in E x B plasma discharges","Collisionless cross-field electron transport in an E x B configuration
relevant for electric propulsion is studied using data from a (z, {\theta})
full-PIC simulation. Higher-order spectral analysis shows that transport is
dominated by the in-phase interaction of the oscillations of the azimuthal
electric field and the electron density associated to the first electron
cyclotron drift instability (ECDI) mode. A secondary contribution emanates from
a lower-frequency mode, not predicted by linear ECDI theory, while higher modes
have a minor direct impact on transport. However, a bicoherence analysis
reveals that strong phase couplings exist among the ECDI modes, and a sparse
symbolic regression spectral model, based on the three-wave coupling equations,
suggests an inverse energy cascade as the most likely explanation, thus
suggesting that higher modes contribute indirectly to transport by quadratic
power transfer to the first mode. This work provides new insights into the
dynamics of anomalous plasma transport in E x B sources and the underlying
processes governing energy distribution across different scales, and supports
the validity of weak turbulence theory to examine their behavior.",2024-12-27T18:43:24Z,http://arxiv.org/abs/2412.19789v1,"Borja Bayón-Buján, Enrique Bello-Benítez, Jiewei Zhou, Mario Merino"
"Machine Learning for Sentiment Analysis of Imported Food in Trinidad and
  Tobago","This research investigates the performance of various machine learning
algorithms (CNN, LSTM, VADER, and RoBERTa) for sentiment analysis of Twitter
data related to imported food items in Trinidad and Tobago. The study addresses
three primary research questions: the comparative accuracy and efficiency of
the algorithms, the optimal configurations for each model, and the potential
applications of the optimized models in a live system for monitoring public
sentiment and its impact on the import bill. The dataset comprises tweets from
2018 to 2024, divided into imbalanced, balanced, and temporal subsets to assess
the impact of data balancing and the COVID-19 pandemic on sentiment trends. Ten
experiments were conducted to evaluate the models under various configurations.
Results indicated that VADER outperformed the other models in both multi-class
and binary sentiment classifications. The study highlights significant changes
in sentiment trends pre- and post-COVID-19, with implications for import
policies.",2024-12-27T18:25:08Z,http://arxiv.org/abs/2412.19781v1,"Cassandra Daniels, Koffka Khan"
Functionality of Random Graphs,"The functionality of a graph $G$ is the minimum number $k$ such that in every
induced subgraph of $G$ there exists a vertex whose neighbourhood is uniquely
determined by the neighborhoods of at most $k$ other vertices in the subgraph.
The functionality parameter was introduced in the context of adjacency labeling
schemes, and it generalises a number of classical and recent graph parameters
including degeneracy, twin-width, and symmetric difference. We establish the
functionality of a random graph $G(n,p)$ up to a constant factor for every
value of $p$.",2024-12-27T18:09:29Z,http://arxiv.org/abs/2412.19771v1,"John Sylvester, Viktor Zamaraev, Maksim Zhukovskii"
Classification of Minimal Abelian Coulomb Branches,"Obtaining the classification of 3d $\mathcal{N}=4$ quivers whose Coulomb
branches have an isolated singularity is an essential step in understanding
moduli spaces of vacua of supersymmetric field theories with 8 supercharges in
any dimension. In this work, we derive a full classification for such Abelian
quivers with arbitrary charges, and identify all possible Coulomb branch
geometries as quotients of $\mathbb{H}^n$ by $\mathrm{U}(1)$ or a finite cyclic
group. We give two proofs, one which uses the decay and fission algorithm, and
another one relying only on explicit computations involving 3d mirror symmetry.
In the process, we put forward a method for computing the 3d mirror of any
$\mathrm{U}(1)^r$ gauge theory, which is sensitive to discrete gauge factors in
the mirror theory. This constitutes a confirmation for the decay and fission
algorithm.",2024-12-27T17:54:59Z,http://arxiv.org/abs/2412.19766v1,"Antoine Bourget, Quentin Lamouret, Sinan Moura Soysüren, Marcus Sperling"
Can one hear the shape of a random walk?,"To what extent is the underlying distribution of a finitely supported
unbiased random walk on $\mathbb{Z}$ determined by the sequence of times at
which the walk returns to the origin? The main result of this paper is that, in
various senses, most unbiased random walks on $\mathbb{Z}$ are determined up to
equivalence by the sequence $I_1,I_2,I_3,\ldots$, where $I_n$ denotes the
probability of being at the origin after $n$ steps. The proof depends on the
classification of finite simple groups.",2024-12-27T17:42:34Z,http://arxiv.org/abs/2412.19762v1,Michael J. Larsen
Tree tilings in random regular graphs,"We show that for every $\epsilon&gt;0$ there exists a sufficiently large $d_0\in
\mathbb{N}$ such that for every $d\ge d_0$, \textbf{whp} the random $d$-regular
graph $G(n,d)$ contains a $T$-factor for every tree $T$ on at most
$(1-\epsilon)d/\log d$ vertices. This is best possible since, for large enough
integer $d$, \textbf{whp} $G(n,d)$ does not contain a
$\frac{(1+\epsilon)d}{\log d}$-star factor.",2024-12-27T17:35:47Z,http://arxiv.org/abs/2412.19756v1,"Sahar Diskin, Ilay Hoshen, Maksim Zhukovskii"
A random walk among random graphs,"Lecture notes of a master course given at Orsay between 2019-2024. Topics
covered include Part I: One-dimensional random walks, cycle lemma and
Bienaym\'e--Galton--Watson random trees. Part II: Erd\""os--R\'enyi random
graphs, three proofs of the emergence of the giant component. Part III: Random
recursive tree, random permutations and continuous time embedding techniques.
Intended for publication.",2024-12-27T17:21:41Z,http://arxiv.org/abs/2412.19752v1,Nicolas Curien
"Weak lumping of left-invariant random walks on left cosets of finite
  groups","Let $G$ be a finite group and let $H$ be a subgroup of $G$. The
left-invariant random walk driven by a probability measure $w$ on $G$ is the
Markov chain in which from any state $x \in G$, the probability of stepping to
$xg \in G$ is $w(g)$. The initial state is chosen randomly according to a given
distribution. The walk is said to lump weakly on left cosets if the induced
process on $G/H$ is a time-homogeneous Markov chain. We characterise all the
initial distributions and weights $w$ such that the walk is irreducible and
lumps weakly on left cosets, and determine all the possible transition matrices
of the induced Markov chain. In the case where $H$ is abelian we refine our
main results to give a necessary and sufficient condition for weak lumping by
an explicit system of linear equations on $w$, organized by the double cosets
$HxH$. As an application we consider shuffles of a deck of $n$ cards such that
repeated observations of the top card form a Markov chain. Such shuffles
include the random-to-top shuffle, and also, when the deck is started in a
uniform random order, the top-to-random shuffle. We give a further family of
examples in which our full theory of weak lumping is needed to verify that the
top card sequence is Markov.",2024-12-27T17:08:17Z,http://arxiv.org/abs/2412.19742v1,"Edward Crane, Álvaro Gutiérrez, Erin Russell, Mark Wildon"
"Periodically and aperiodically Thue-Morse driven long-range systems:
  from dynamical localization to slow dynamics","We investigate the electric-field driven power-law random banded
matrix(PLRBM) model where a variation in the power-law exponent $\alpha$ yields
a delocalization-to-localization phase transition. We examine the periodically
driven PLRBM model with the help of the Floquet operator. The level spacing
ratio and the generalized participation ratio of the Floquet Hamiltonian reveal
a drive-induced fractal phase accompanied by diffusive transport on the
delocalized side of the undriven PLRBM model. On the localized side, the
time-periodic model remains localized - the average spacing ratio corresponds
to Poisson statistics and logarithmic transport is observed in the dynamics.
Extending our analysis to the aperiodic Thue-Morse (TM) driven system, we find
that the aperiodically driven clean long-range hopping model (clean counterpart
of the PLRBM model) exhibits the phenomenon of \textit{exact dynamical
localization} (EDL) on tuning the drive-parameters at special points. The
disordered time-aperiodic system shows diffusive transport followed by
relaxation to the infinite-temperature state on the delocalized side, and a
prethermal plateau with subdiffusion on the localized side. Additionally, we
compare this with a quasi-periodically driven AAH model that also undergoes a
localization-delocalization transition. Unlike the disordered long-range model,
it features a prolonged prethermal plateau followed by subdiffusion to the
infinite temperature state, even on the delocalized side.",2024-12-27T16:55:47Z,http://arxiv.org/abs/2412.19736v1,"Vatsana Tiwari, Devendra Singh Bhakuni, Auditya Sharma"
"Generative Pretrained Embedding and Hierarchical Irregular Time Series
  Representation for Daily Living Activity Recognition","Within the evolving landscape of smart homes, the precise recognition of
daily living activities using ambient sensor data stands paramount. This paper
not only aims to bolster existing algorithms by evaluating two distinct
pretrained embeddings suited for ambient sensor activations but also introduces
a novel hierarchical architecture. We delve into an architecture anchored on
Transformer Decoder-based pre-trained embeddings, reminiscent of the GPT
design, and contrast it with the previously established state-of-the-art (SOTA)
ELMo embeddings for ambient sensors. Our proposed hierarchical structure
leverages the strengths of each pre-trained embedding, enabling the discernment
of activity dependencies and sequence order, thereby enhancing classification
precision. To further refine recognition, we incorporate into our proposed
architecture an hour-of-the-day embedding. Empirical evaluations underscore the
preeminence of the Transformer Decoder embedding in classification endeavors.
Additionally, our innovative hierarchical design significantly bolsters the
efficacy of both pre-trained embeddings, notably in capturing inter-activity
nuances. The integration of temporal aspects subtly but distinctively augments
classification, especially for time-sensitive activities. In conclusion, our
GPT-inspired hierarchical approach, infused with temporal insights, outshines
the SOTA ELMo benchmark.",2024-12-27T16:43:52Z,http://arxiv.org/abs/2412.19732v1,"Damien Bouchabou, Sao Mai Nguyen"
High-dimensional permutons: theory and applications,"Permutons, which are probability measures on the unit square $[0, 1]^2$ with
uniform marginals, are the natural scaling limits for sequences of (random)
permutations.
  We introduce a $d$-dimensional generalization of these measures for all $d
\ge 2$, which we call $d$-dimensional permutons, and extend -- from the
two-dimensional setting -- the theory to prove convergence of sequences of
(random) $d$-dimensional permutations to (random) $d$-dimensional permutons.
  Building on this new theory, we determine the random high-dimensional
permuton limits for two natural families of high-dimensional permutations.
First, we determine the $3$-dimensional permuton limit for Schnyder wood
permutations, which bijectively encode planar triangulations decorated by
triples of spanning trees known as Schnyder woods. Second, we identify the
$d$-dimensional permuton limit for $d$-separable permutations, a
pattern-avoiding class of $d$-dimensional permutations generalizing ordinary
separable permutations.
  Both high-dimensional permuton limits are random and connected to previously
studied universal 2-dimensional permutons, such as the Brownian separable
permutons and the skew Brownian permutons, and share interesting connections
with objects arising from random geometry, including the continuum random tree,
Schramm--Loewner evolutions, and Liouville quantum gravity surfaces.",2024-12-27T16:40:41Z,http://arxiv.org/abs/2412.19730v1,"Jacopo Borga, Andrew Lin"
"Learning to Forget: Bayesian Time Series Forecasting using Recurrent
  Sparse Spectrum Signature Gaussian Processes","The signature kernel is a kernel between time series of arbitrary length and
comes with strong theoretical guarantees from stochastic analysis. It has found
applications in machine learning such as covariance functions for Gaussian
processes. A strength of the underlying signature features is that they provide
a structured global description of a time series. However, this property can
quickly become a curse when local information is essential and forgetting is
required; so far this has only been addressed with ad-hoc methods such as
slicing the time series into subsegments. To overcome this, we propose a
principled, data-driven approach by introducing a novel forgetting mechanism
for signatures. This allows the model to dynamically adapt its context length
to focus on more recent information. To achieve this, we revisit the recently
introduced Random Fourier Signature Features, and develop Random Fourier
Decayed Signature Features (RFDSF) with Gaussian processes (GPs). This results
in a Bayesian time series forecasting algorithm with variational inference,
that offers a scalable probabilistic algorithm that processes and transforms a
time series into a joint predictive distribution over time steps in one pass
using recurrence. For example, processing a sequence of length $10^4$ steps in
$\approx 10^{-2}$ seconds and in $&lt; 1\text{GB}$ of GPU memory. We demonstrate
that it outperforms other GP-based alternatives and competes with
state-of-the-art probabilistic time series forecasting algorithms.",2024-12-27T16:31:09Z,http://arxiv.org/abs/2412.19727v1,"Csaba Tóth, Masaki Adachi, Michael A. Osborne, Harald Oberhauser"
EEG-Reptile: An Automatized Reptile-Based Meta-Learning Library for BCIs,"Meta-learning, i.e., ""learning to learn"", is a promising approach to enable
efficient BCI classifier training with limited amounts of data. It can
effectively use collections of in some way similar classification tasks, with
rapid adaptation to new tasks where only minimal data are available. However,
applying meta-learning to existing classifiers and BCI tasks requires
significant effort. To address this issue, we propose EEG-Reptile, an automated
library that leverages meta-learning to improve classification accuracy of
neural networks in BCIs and other EEG-based applications. It utilizes the
Reptile meta-learning algorithm to adapt neural network classifiers of EEG data
to the inter-subject domain, allowing for more efficient fine-tuning for a new
subject on a small amount of data. The proposed library incorporates an
automated hyperparameter tuning module, a data management pipeline, and an
implementation of the Reptile meta-learning algorithm. EEG-Reptile automation
level allows using it without deep understanding of meta-learning. We
demonstrate the effectiveness of EEG-Reptile on two benchmark datasets (BCI IV
2a, Lee2019 MI) and three neural network architectures (EEGNet, FBCNet,
EEG-Inception). Our library achieved improvement in both zero-shot and few-shot
learning scenarios compared to traditional transfer learning approaches.",2024-12-27T16:24:31Z,http://arxiv.org/abs/2412.19725v1,"Daniil A. Berdyshev, Artem M. Grachev, Sergei L. Shishkin, Bogdan L. Kozyrskiy"
"Trading Off Energy Storage and Payload -- An Analytical Model for
  Freight Train Configuration","To support planning of alternative fuel technology (e.g., battery-electric
locomotives) deployment for decarbonizing non-electrified freight rail, we
develop a convex optimization formulation with a closed-form solution to
determine the optimal number of energy storage tender cars in a train. The
formulation shares a similar structure to an Economic Order Quantity (EOQ)
model. For given market characteristics, cost forecasts, and technology
parameters, our model captures the trade-offs between inventory carrying costs
associated with trip times (including delays due to charging/refueling) and
ordering costs associated with train dispatch and operation (energy, amortized
equipment, and labor costs). To illustrate the framework, we find the optimal
number of battery-electric energy tender cars in 22,501 freight markets
(origin-destination pairs and commodities) for U.S. Class I railroads. The
results display heterogeneity in optimal configurations with lighter, yet more
time-sensitive shipments (e.g., intermodal) utilizing more battery tender cars.
For heavier commodities (e.g., coal) with lower holding costs, single battery
tender car configurations are generally optimal. The results also show that the
optimal train configurations are sensitive to delays associated with recharging
or swapping tender cars.",2024-12-27T16:18:35Z,http://arxiv.org/abs/2412.19719v1,"Max T. M. Ng, Adrian Hernandez, Pablo L. Durango-Cohen, Hani S. Mahmassani"
"Causal machine learning for heterogeneous treatment effects in the
  presence of missing outcome data","When estimating heterogeneous treatment effects, missing outcome data can
complicate treatment effect estimation, causing certain subgroups of the
population to be poorly represented. In this work, we discuss this commonly
overlooked problem and consider the impact that missing at random (MAR) outcome
data has on causal machine learning estimators for the conditional average
treatment effect (CATE). We then propose two de-biased machine learning
estimators for the CATE, the mDR-learner and mEP-learner, which address the
issue of under-representation by integrating inverse probability of censoring
weights into the DR-learner and EP-learner respectively. We show that under
reasonable conditions, these estimators are oracle efficient, and illustrate
their favorable performance through simulated data settings, comparing them to
existing CATE estimators, including comparison to estimators which use common
missing data techniques. Guidance on the implementation of these estimators is
provided and we present an example of their application using the ACTG175
trial, exploring treatment effect heterogeneity when comparing Zidovudine
mono-therapy against alternative antiretroviral therapies among HIV-1-infected
individuals.",2024-12-27T16:10:03Z,http://arxiv.org/abs/2412.19711v1,"Matthew Pryce, Karla Diaz-Ordaz, Ruth H. Keogh, Stijn Vansteelandt"
